model_name,split,label,precision,recall,f1_score,support
linear_svm,valid,negative,0.9046153846153846,0.9453376205787781,0.9245283018867925,311.0
linear_svm,valid,neutral,0.9099099099099099,0.7709923664122137,0.8347107438016529,131.0
linear_svm,valid,positive,0.9497041420118343,0.9668674698795181,0.9582089552238806,332.0
linear_svm,valid,accuracy,,,0.9250645994832042,
linear_svm,valid,macro avg,0.9214098121790429,0.8943991522901701,0.9058160003041088,774.0
linear_svm,valid,weighted avg,0.9248518836712039,0.9250645994832042,0.9237736207482394,774.0
linear_svm,test,negative,0.9101796407185628,0.977491961414791,0.9426356589147287,311.0
linear_svm,test,neutral,0.8928571428571429,0.7633587786259542,0.823045267489712,131.0
linear_svm,test,positive,0.9696048632218845,0.9579579579579579,0.9637462235649547,333.0
linear_svm,test,accuracy,,,0.9329032258064516,
linear_svm,test,macro avg,0.9242138822658634,0.8996028993329009,0.9098090499897985,775.0
linear_svm,test,weighted avg,0.9327852560395437,0.9329032258064516,0.9314917579493712,775.0
